Bandera de Canarias Real Club Deportivo Gara 	Garachico 	1912 	Garachico Balompié 	Campo Municipal de Garachico 	4.ª
Bandera de Canarias Unión Deportiva Icodense 	Tenerife 	1912 	Icod Sporting Club 	Municipal El Molino 	4.ª
Bandera de Cantabria Real Racing Club de Santander 	Santander 	1913 	Santander Racing Club 	El Sardinero 	2.ª
Bandera del País Vasco Club Deportivo Basconia 	Basauri 	1913 	Club Deportivo Basconia 	Artunduaga 	3.ª
Bandera del País Vasco Sociedad Deportiva Deusto 	Deusto 	1913 	Sociedad Deportiva Deusto 	Etxezuri 	3.ª
Bandera de Cataluña Club Gimnàstic de Tarragona 	Tarragona 	1914 	Club Gimnástico de Tarragona 	Nou Estadi 	2.ª
Bandera de Galicia Real Club Deportivo de La Coruña" 	"B" 	"	La Coruña 	1914 	Fabril Foot-ball Club 	El Mundo del Fútbol 	3.ª
Bandera de la Comunidad Valenciana Hércules de Alicante Club de Fútbol 	Alicante 	1914 	1922 	Hércules Foot-Ball Club 	José Rico Pérez 	2.ª B (III)
Bandera de La Rioja (España) Club Haro Deportivo 	Haro 	1914 	Haro Sport Club 	Estadio Municipal de Deportes El Mazo 	3.ª
Bandera de Canarias Real Unión de Tenerife Club de Fútbol 	Tenerife 	1915 	(Sociedad) 1.º de Abril para el Fomento de El Cabo 	Municipal de La Salud 	5.ª
Bandera de Cantabria Club Deportivo Cayón 	Santa María de Cayón 	1915 	Club Deportivo Cayón 	El Astobiza 	3.ª
Bandera del País Vasco Real Unión Club 	Irún 	1915 	Real Unión Club de Irún 	Stadium Gal 	2.ª B (II)
Bandera del País Vasco Sociedad Deportiva Erandio Club 	Erandio 	1915 	Sociedad Deportiva Erandio Club 	Nuevo Ategorri 	5.ª
Bandera de Asturias Club Deportivo Lealtad 	Villaviciosa 	1916 	Club Deportivo Lealtad 	Les Caleyes 	3.ª
Bandera de Asturias Club Siero 	Pola de Siero 	1916 	Club Siero 	El Bayu 	3.ª
Bandera de las Islas Baleares Real Club Deportivo Mallorca 	Palma de Mallorca 	1916 	(Sociedad) Alfonso XIII Foot-Ball Club 	Son Moix 	2.ª
Bandera de Asturias Deportiva Piloñesa 	Infiesto 	1917 	Deportiva Piloñesa 	La Cueva 	5.ª
Bandera de Asturias Pumarín Club de Futbol 	Oviedo 	1917 	Pumarín Club de Futbol 	Les Castañales 	4.ª
Bandera de la Comunidad Valenciana Club Deportivo Contestano 	Cocentaina 	1917 	1919 	Club Deportivo Contestano 	Camp de la Morera 	4.ª
Bandera del País Vasco Barakaldo Club de Fútbol 	Baracaldo 	1917 	Baracaldo Foot-Ball Club 	Nuevo Lasesarre 	2.ª B (II)
Bandera del País Vasco Club Deportivo Elgoibar 	Elgóibar 	1917 	Club Deportivo Elgoibar 	Mintxeta 	3.ª
Bandera de Asturias Caudal Deportivo 	Mieres 	1918 	Racing Club de Mieres 	Hermanos Antuña 	3.ª
Bandera del País Vasco Santutxu Fútbol Club 	Santutxu 	1918 	Santutxu Fútbol Club 	Mallona 	3.ª
Bandera de Cataluña Unió Esportiva Figueres 	Figueras 	1919 	Unión Sportiva Figueras 	Municipal de Vilatenim 	3.ª
Bandera de Extremadura Club Polideportivo Cacereño 	Cáceres 	1919 	Club Deportivo Cacereño 	Príncipe Felipe 	3.ª
Bandera de Galicia Racing Club de Ferrol 	Ferrol 	1919 	Racing Ferrol Foot-Ball Club 	A Malata 	3.ª
Bandera de la Comunidad Valenciana Club Deportivo Acero 	Puerto de Sagunto 	1919 	1919 	Sporting Club 	El Fornás 	4.ª
Bandera de la Comunidad Valenciana Club Deportivo Castellón 	Castellón de la Plana 	1919 	1922 	Castellón Foot-Ball Club 	Nuevo Castalia 	2.ª B (III)
Bandera de la Comunidad Valenciana Valencia Club de Fútbol 	Valencia 	1919 	Valencia Foot-Ball Club 	Mestalla 	1.ª
Bandera de la Región de Murcia Cartagena Fútbol Club 	Cartagena 	1919 	Cartagena Foot-Ball Club 	Cartagonova 	3.ª
Bandera del País Vasco Sociedad Cultural Deportiva de Durango 	Durango 	1919 	Sociedad Cultural Deportiva de Durango 	Tabira 	3.ª
Bandera del País Vasco Sporting Club de Lutxana 	Baracaldo 	1919 	Sporting Club de Lutxana 	Campo de Serralta 	7.ª
Bandera de Cataluña Club Futbol Capellades 	Capellades 	1920 	Centre Esportiu Capelló 	Estadi Municipal de Capellades 	7.ª
Bandera de las Islas Baleares Club Deportivo Atlético Baleares 	Palma de Mallorca 	1920 	Club Deportivo Atlético Baleares 	Campo de Son Malferit 	2.ª B (III)
Bandera de Navarra Club Atlético Osasuna 	Pamplona 	1920 	Club Atlético Osasuna 	El Sadar 	2.ª
Bandera de Castilla y León Sociedad Deportiva Ponferradina 	Ponferrada 	1921 	1922 	Sociedad Deportiva Ponferradina 	El Toralín 	2.ª
Bandera de la Comunidad Valenciana Club Deportivo Eldense 	Elda 	1921 	Club Deportivo Eldense 	Nuevo Pepico Amat 	3.ª
Bandera del País Vasco Deportivo Alavés 	Vitoria 	1921 	Club Deportivo Alavés 	Mendizorroza 	1.ª
Bandera de Andalucía Vélez Club de Fútbol 	Vélez-Málaga 	1922 	Sociedad Deportiva Vélez Football Club 	Estadio Vivar Téllez 	3.ª
Bandera de Canarias Club Deportivo Mensajero 	Santa Cruz de La Palma 	1922 	Club Mensajero 	Silvestre Carrillo 	3.ª
Bandera de Canarias Sociedad Deportiva Tenisca 	Santa Cruz de La Palma 	1922 	Tenisca Balompié 	Virgen de las Nieves 	3.ª
Bandera de la Comunidad Valenciana Elche Club de Fútbol 	Elche 	1922 	Elche Foot-Ball Club 	Martínez Valero 	2.ª
Bandera del País Vasco Sociedad Deportiva Gernika Club 	Gernika 	1922 	Sociedad Deportiva Gernika Club 	Urbieta 	3.ª
Bandera del País Vasco Tolosa Club de Fútbol 	Tolosa 	1922 	Tolosa Foot-Ball Club 	Berazubi 	3.ª
Bandera de Asturias Astur Club de Futbol 	Oviedo 	1923 	Astur Club de Futbol 	Hermanos Llana 	3.ª
Bandera de Castilla y León Cultural y Deportiva Leonesa 	León 	1923 	Cultural y Deportiva Leonesa 	Municipal Reino de León 	2.ª B (I)
Bandera de Galicia Real Club Celta de Vigo 	Vigo 	1923 	Real Club Celta 	Balaídos 	1.ª
Bandera de la Comunidad de Madrid Rayo Vallecano de Madrid 	Madrid 	1924 	Agrupación Deportiva El Rayo 	Campo de Fútbol de Vallecas 	1.ª
Bandera de Navarra Club Deportivo Izarra 	Estella 	1924 	Izarra Beti Aurrera 	Merkatondoa 	2.ª B (II)
Bandera de Cataluña Unió Esportiva Sant Andreu 	Barcelona 	1925 	Unió Esportiva Sant Andreu 	Narcís Sala 	3.ª
Bandera del País Vasco Sociedad Deportiva Amorebieta 	Vizcaya 	1925 	Sociedad Deportiva Amorebieta 	Urritxe 	2.ª B (II)
Bandera de Asturias Real Oviedo 	Oviedo 	1926 	Real Oviedo Foot-Ball Club 	Carlos Tartiere 	2.ª
Bandera de Castilla y León Club Deportivo Mirandés 	Miranda de Ebro 	1927 	Club Deportivo Mirandés 	Municipal de Anduva 	2.ª B (II)
Bandera de Andalucía Calavera Club de Fútbol 	Sevilla 	1928 	Calavera 	Centro Deportivo Calavera 	6.ª
Bandera de Andalucía Carrión Balompié 	Carrión de los Céspedes 	1928 	Carrión Balompié 	Manuel Galeano Sánchez 	3.ª
Bandera de Andalucía Racing Club Portuense 	El Puerto de Santa María 	1928 	Racing Football Club Portuense 	José del Cuvillo 	7.ª
Bandera de Castilla y León Real Valladolid Club de Fútbol 	Valladolid 	1928 	Real Valladolid Deportivo 	José Zorrilla 	2.ª
Bandera de la Comunidad de Madrid Club Deportivo Leganés 	Leganés 	1928 	Club Deportivo Leganés 	Municipal de Butarque 	1.ª
Bandera de la Comunidad Valenciana Club Deportivo Alcoyano 	Alcoy 	1928 	Club Deportivo Alcoyano 	El Collao 	2.ª B (II)
Bandera de Andalucía Real Jaén Club de Fútbol 	Jaén 	1929 	Sociedad Olímpica Jiennense 	La Victoria 	2.ª B (IV)
Bandera de Asturias Real Oviedo Vetusta 	Oviedo 	1930 	Real Oviedo Vetusta 	El Requexón 	3.ª
Bandera de Cataluña Girona Futbol Club 	Gerona 	1930 	Gerona Foot-Ball Club 	Municipal de Montilivi 	1.ª
Bandera de la Comunidad de Madrid Real Madrid Castilla Club de Fútbol 	Madrid 	1930 	Agrupación Deportiva Plus Ultra 	Alfredo Di Stéfano 	2.ª B (I)
Bandera de Andalucía Granada Club de Fútbol 	Granada 	1931 	Club Recreativo Granada 	Nuevo Los Cármenes 	2.ª
Bandera de Andalucía Puerto Real Club de Fútbol 	Puerto Real 	1931 	Juventud Artística Deportiva 	El Rosal 	6.ª
Bandera de Asturias Club Marino de Luanco 	Luanco 	1931 	Club Marino 	Municipal de Miramar 	3.ª
Bandera de Aragón Real Zaragoza 	Zaragoza 	1932 	Zaragoza Foot-Ball Club 	La Romareda 	2.ª
Bandera de Canarias Club Deportivo Marino 	Arona 	1933 	Marino Fútbol Club 	Antonio Domínguez 	3.ª
Bandera de Castilla-La Mancha Albacete Balompié 	Albacete 	1940 	Albacete Foot-Ball Association 	Carlos Belmonte 	2.ª
Bandera de Galicia Pontevedra Club de Fútbol 	Pontevedra 	1941 	Pontevedra Club de Fútbol 	Municipal de Pasarón 	3.ª
Bandera del País Vasco Sociedad Deportiva Eibar 	Éibar 	1943 	Sociedad Deportiva Eibar 	Municipal de Ipurúa 	1.ª
Bandera de la Comunidad Valenciana Valencia Club de Fútbol Mestalla 	Paterna 	1944 	Club Deportivo Mestalla 	Paterna 	2.ª B (III)
Bandera de la Comunidad Valenciana Villarreal Club de Fútbol 	Villarreal 	1944 	1947 	Club Atlético Foghetecaz 	El Madrigal 	1.ª
Bandera de Castilla y León Club Deportivo Numancia de Soria 	Soria 	1945 	Club Deportivo Numancia 	Nuevo Los Pajaritos 	2.ª
Bandera de Andalucía Club Recreativo Granada 	Granada 	1947 	Club Recreativo Granada 	Miguel Prieto 	2.ª B (IV)
Bandera de Andalucía Xerez Club Deportivo 	Jerez de la Frontera 	1947 	Jerez Club Deportivo 	Municipal de Chapín 	3.ª
Bandera de Castilla-La Mancha Club Deportivo Guadalajara 	Guadalajara 	1947 	Club Deportivo Guadalajara 	Pedro Escartín 	3.ª
Bandera de Andalucía Málaga Club de Fútbol 	Málaga 	1948 	Club Atlético Malagueño 	La Rosaleda 	2.ª
Bandera de Castilla-La Mancha Club Deportivo Puertollano 	Puertollano 	1948 	Club Deportivo Calvo Sotelo 	Ciudad de Puertollano 	3.ª
Bandera de Canarias Unión Deportiva Las Palmas 	Las Palmas 	1949 	Unión Deportiva Las Palmas 	Gran Canaria 	1.ª
Bandera de Andalucía Sevilla Atlético Club 	Sevilla 	1950 	Club Deportivo Puerto 	Jesús Navas 	2.ª B (IV)
Bandera de Galicia Club Deportivo Lugo 	Lugo 	1953 	Club Deportivo Lugo 	Anxo Carro 	2.ª
Bandera de Andalucía Córdoba Club de Fútbol 	Córdoba 	1954 	Club Deportivo San Álvaro 	Nuevo Arcángel 	2.ª
Bandera de Cataluña Palamós Club de Fútbol 	Palamós 	1954 	Palamós Sociedad Cultural 	Nou Estadi de Palamós 	3.ª
Bandera de Ceuta Club Atlético de Ceuta 	Ceuta 	1956 	Club Atlético de Ceuta 	Municipal Alfonso Murube 	3.ª
Bandera de Aragón Sociedad Deportiva Huesca 	Huesca 	1960 	Sociedad Deportiva Huesca 	El Alcoraz 	2.ª
Bandera de Asturias Unión Popular de Langreo 	Langreo 	1961 	Unión Popular de Langreo 	Ganzábal 	3.ª
Bandera de la Comunidad de Madrid Club Atlético de Madrid" 	"B" 	"	Majadahonda 	1963 	Club Atlético Getafe 	Cerro del Espino 	2.ª B (I)
Bandera del País Vasco Bilbao Athletic 	Lezama 	1964 	Club Atlético de Bilbao Amateur 	Instalaciones de Lezama 	2.ª B (II)
Bandera de La Rioja (España) Unión Deportiva Logroñés 	Logroño 	1967 	Club Deportivo Varea 	Las Gaunas 	2.ª B (II)
Bandera de Cataluña Fútbol Club Barcelona" 	"B" 	"	Barcelona 	1970 	Barcelona Atlético 	Mini Estadi 	2.ª
Bandera de la Comunidad de Madrid Agrupación Deportiva Alcorcón 	Alcorcón 	1971 	Agrupación Deportiva Alcorcón 	Santo Domingo 	2.ª
Bandera de Andalucía Montilla Club de Fútbol 	Montilla 	1973 	Club Deportivo Montilla 	Municipal de Montilla 	5.ª
Bandera de la Comunidad Valenciana Alboraya Unión Deportiva 	Alboraya 	1978 	Alboraya Unión Deportiva 	Estadio Francisco Gil Cardona 	3.ª
Bandera de Castilla y León Real Burgos Club de Fútbol 	Burgos 	1983 	Real Burgos Club de Fútbol 	Pallafría 	3.ª
Bandera de la Comunidad de Madrid Getafe Club de Fútbol 	Getafe 	1983 	Getafe Club de Fútbol 	Coliseum Alfonso Pérez 	1.ª
Bandera de la Comunidad de Madrid Getafe Club de Fútbol" 	"B" 	"	Getafe 	1983 	Getafe Club de Fútbol Promesas 	Ciudad Deportiva de Getafe 	3.ª
Bandera de Andalucía Unión Deportiva Almería 	Almería 	1989 	Almería Club de Fútbol 	Juegos Mediterráneos 	2.ª
Bandera de Castilla y León Burgos Club de Fútbol 	Burgos 	1994 	Burgos Club de Fútbol 	Municipal de El Plantío 	3.ª
Bandera de la Región de Murcia Fútbol Club Cartagena 	Cartagena 	1995 	Cartagonova Fútbol Club 	Cartagonova 	2.ª B (IV)
Bandera del País Vasco Sestao River Club 	Sestao 	1996 	Sestao River Club 	Las Llanas 	3.ª
Bandera de la Comunidad de Madrid Agrupación Deportiva Alcorcón" 	"B" 	"	Alcorcón 	1998 	Agrupación Deportiva Alcorcón 	Anexos Santo Domingo 	3.ª
Bandera de la Región de Murcia UCAM Murcia Club de Fútbol 	Murcia 	1999 	Universidad Católica San Antonio de Murcia C.F. 	La Condomina 	2.ª B (IV)
Bandera de Galicia Sociedad Deportiva Compostela 	Santiago de Compostela 	2004 	Sociedad Deportiva Campus Stellae 	Multiusos de San Lázaro 	3.ª
Bandera de Extremadura Extremadura Unión Deportiva 	Almendralejo 	2007 	Extremadura Unión Deportiva 	Francisco de la Hera 	3.ª
Bandera de Cataluña Tarrasa Olímpica 2010 	Tarrasa 	2009 	Terrassa Olímpica 2010 	Olímpic de Terrassa 	3.ª
Bandera de La Rioja (España) Sociedad Deportiva Logroñés 	Logroño 	2009 	Sociedad Deportiva Logroñés 	Las Gaunas 	3.ª
Bandera de Cataluña Club Lleida Esportiu 	Lérida 	2011 	Club Lleida Esportiu 	Camp d'Esports 	2.ª B (III)
Bandera de Extremadura Club Deportivo Badajoz 	Badajoz 	2012 	Club Deportivo Badajoz 1905 	Nuevo Vivero 	2.ª B (IV)
Bandera de Andalucía Xerez Deportivo Fútbol Club 	Jerez de la Frontera 	2013 	Xerez Deportivo Fútbol Club 	Municipal de Chapín 	3.ª
Bandera de Castilla y León Unionistas de Salamanca Club de Fútbol 	Salamanca 	2013 	Plataforma de Aficionados Unionistas 	Pistas del Helmántico 	3.ª
Bandera de Extremadura Mérida Asociación Deportiva 	Mérida 	2013 	Mérida Asociación Deportiva 	Romano 	3.ª
